#Solar model
#
#Data taken from the following work:
#	Saclay Solar Seismic model. For further information:
#	"Solar Neutrino Emission Deduced from a Seismic Model", Turck-Chieze et al., 
#	ApJ, 555:L69-L73, 2001 July 1
#Gravitational potential calculted from Poisson law
# Phi = -GM/R PhiBar with PhiBar the normalized potential shown here
#
#Radius [in solar radius]	Temperature [keV]	Normalized gravitational potential [no unit]
0.286406	0.612631	3.05435
0.286903	0.611697	3.05086
0.2874	0.610764	3.04737
0.287898	0.609831	3.04388
0.288397	0.608898	3.04039
0.288897	0.607966	3.0369
0.289398	0.607034	3.03341
0.2899	0.606102	3.02991
0.290403	0.605171	3.02642
0.290907	0.60424	3.02292
0.291411	0.60331	3.01942
0.291917	0.60238	3.01592
0.292423	0.60145	3.01242
0.292931	0.600521	3.00891
0.293439	0.599592	3.00541
0.293949	0.598663	3.0019
0.294459	0.597735	2.99839
0.29497	0.596807	2.99488
0.295483	0.595879	2.99137
0.295996	0.594952	2.98785
0.29651	0.594025	2.98434
0.297025	0.593099	2.98082
0.297542	0.592172	2.9773
0.298059	0.591246	2.97378
0.298577	0.590321	2.97026
0.299096	0.589396	2.96673
0.299617	0.588471	2.96321
0.300138	0.587546	2.95968
0.30066	0.586622	2.95615
0.301184	0.585698	2.95262
0.301708	0.584775	2.94909
0.302234	0.583851	2.94556
0.30276	0.582929	2.94202
0.303288	0.582006	2.93848
0.303816	0.581084	2.93495
0.304346	0.580162	2.9314
0.304877	0.57924	2.92786
0.305409	0.578319	2.92432
0.305942	0.577397	2.92077
0.306476	0.576477	2.91723
0.307011	0.575556	2.91368
0.307547	0.574636	2.91013
0.308084	0.573716	2.90658
0.308623	0.572796	2.90302
0.309162	0.571877	2.89947
0.309703	0.570958	2.89591
0.310244	0.570039	2.89235
0.310787	0.569121	2.88879
0.311331	0.568202	2.88523
0.311876	0.567284	2.88166
0.312423	0.566367	2.8781
0.31297	0.565449	2.87453
0.313519	0.564532	2.87096
0.314068	0.563615	2.86739
0.314619	0.562698	2.86382
0.315171	0.561782	2.86024
0.315725	0.560866	2.85667
0.316279	0.55995	2.85309
0.316835	0.559034	2.84951
0.317392	0.558119	2.84593
0.31795	0.557204	2.84235
0.318509	0.556289	2.83876
0.31907	0.555374	2.83518
0.319631	0.55446	2.83159
0.320194	0.553546	2.828
0.320758	0.552632	2.82441
0.321324	0.551718	2.82082
0.321891	0.550804	2.81722
0.322458	0.549891	2.81363
0.323028	0.548978	2.81003
0.323598	0.548065	2.80643
0.32417	0.547153	2.80282
0.324743	0.54624	2.79922
0.325317	0.545328	2.79562
0.325892	0.544416	2.79201
0.326469	0.543504	2.7884
0.327047	0.542593	2.78479
0.327627	0.541681	2.78118
0.328207	0.54077	2.77757
0.32879	0.539859	2.77395
0.329373	0.538949	2.77034
0.329958	0.538038	2.76672
0.330544	0.537128	2.7631
0.331131	0.536218	2.75947
0.33172	0.535308	2.75585
0.33231	0.534398	2.75223
0.332902	0.533488	2.7486
0.333494	0.532579	2.74497
0.334089	0.531669	2.74134
0.334684	0.53076	2.73771
0.335281	0.529852	2.73407
0.33588	0.528943	2.73044
0.336479	0.528034	2.7268
0.337081	0.527126	2.72316
0.337683	0.526218	2.71952
0.338287	0.52531	2.71588
0.338893	0.524402	2.71223
0.3395	0.523494	2.70859
0.340108	0.522586	2.70494
0.340718	0.521679	2.70129
0.341329	0.520772	2.69764
0.341942	0.519865	2.69399
0.342556	0.518958	2.69033
0.343172	0.518051	2.68668
0.343789	0.517144	2.68302
0.344408	0.516238	2.67936
0.345028	0.515332	2.6757
0.345649	0.514425	2.67204
0.346273	0.513519	2.66837
0.346897	0.512614	2.66471
0.347524	0.511708	2.66104
0.348151	0.510802	2.65737
0.348781	0.509897	2.6537
0.349412	0.508991	2.65002
0.350044	0.508086	2.64635
0.350678	0.507181	2.64267
0.351314	0.506276	2.639
0.351951	0.505371	2.63532
0.35259	0.504466	2.63164
0.35323	0.503562	2.62795
0.353872	0.502657	2.62427
0.354515	0.501753	2.62058
0.355161	0.500849	2.61689
0.355807	0.499944	2.61321
0.356456	0.49904	2.60952
0.357106	0.498137	2.60582
0.357758	0.497233	2.60213
0.358411	0.496329	2.59843
0.359066	0.495426	2.59474
0.359723	0.494522	2.59104
0.360382	0.493619	2.58733
0.361042	0.492715	2.58363
0.361704	0.491812	2.57993
0.362367	0.490909	2.57622
0.363032	0.490006	2.57252
0.363699	0.489103	2.56881
0.364368	0.488201	2.5651
0.365038	0.487298	2.56139
0.365711	0.486395	2.55767
0.366385	0.485493	2.55396
0.36706	0.484591	2.55024
0.367738	0.483688	2.54652
0.368417	0.482786	2.5428
0.369098	0.481884	2.53908
0.369781	0.480982	2.53536
0.370466	0.48008	2.53163
0.371152	0.479178	2.52791
0.371841	0.478276	2.52418
0.372531	0.477375	2.52045
0.373223	0.476473	2.51672
0.373917	0.475572	2.51299
0.374612	0.47467	2.50926
0.37531	0.473769	2.50552
0.376009	0.472867	2.50178
0.376711	0.471966	2.49804
0.377414	0.471065	2.49431
0.378119	0.470164	2.49057
0.378826	0.469263	2.48682
0.379535	0.468362	2.48308
0.380246	0.467461	2.47933
0.380959	0.46656	2.47559
0.381673	0.465659	2.47184
0.38239	0.464759	2.46809
0.383109	0.463858	2.46434
0.383829	0.462958	2.46059
0.384552	0.462057	2.45683
0.385277	0.461157	2.45308
0.386003	0.460256	2.44932
0.386732	0.459356	2.44556
0.387463	0.458456	2.4418
0.388195	0.457555	2.43804
0.38893	0.456655	2.43428
0.389667	0.455755	2.43051
0.390406	0.454855	2.42675
0.391146	0.453955	2.42298
0.391889	0.453055	2.41921
0.392634	0.452155	2.41545
0.393381	0.451256	2.41168
0.394131	0.450356	2.4079
0.394882	0.449456	2.40413
0.395635	0.448556	2.40036
0.396391	0.447657	2.39658
0.397149	0.446757	2.39281
0.397909	0.445858	2.38903
0.398671	0.444958	2.38525
0.399435	0.444059	2.38147
0.400201	0.443159	2.37769
0.40097	0.44226	2.3739
0.401741	0.441361	2.37012
0.402514	0.440462	2.36633
0.403289	0.439562	2.36255
0.404066	0.438663	2.35876
0.404846	0.437764	2.35497
0.405628	0.436865	2.35118
0.406412	0.435966	2.34739
0.407199	0.435067	2.3436
0.407987	0.434168	2.33981
0.408778	0.433269	2.33601
0.409572	0.432371	2.33222
0.410367	0.431472	2.32842
0.411165	0.430573	2.32462
0.411966	0.429675	2.32082
0.412768	0.428776	2.31702
0.413573	0.427877	2.31322
0.414381	0.426979	2.30942
0.41519	0.42608	2.30562
0.416002	0.425182	2.30182
0.416817	0.424283	2.29801
0.417634	0.423385	2.2942
0.418453	0.422487	2.2904
0.419275	0.421589	2.28659
0.420099	0.42069	2.28278
0.420926	0.419792	2.27897
0.421755	0.418894	2.27516
0.422586	0.417996	2.27135
0.42342	0.417098	2.26754
0.424257	0.4162	2.26373
0.425096	0.415302	2.25991
0.425937	0.414404	2.2561
0.426781	0.413506	2.25229
0.427628	0.412609	2.24847
0.428477	0.411711	2.24465
0.429329	0.410813	2.24084
0.430183	0.409916	2.23702
0.43104	0.409018	2.2332
0.431899	0.40812	2.22938
0.432761	0.407223	2.22556
0.433625	0.406325	2.22174
0.434493	0.405428	2.21792
0.435362	0.404531	2.21409
0.436235	0.403633	2.21027
0.43711	0.402736	2.20645
0.437988	0.401839	2.20262
0.438868	0.400941	2.1988
0.439751	0.400044	2.19498
0.440637	0.399147	2.19115
0.441526	0.39825	2.18732
0.442417	0.397353	2.1835
0.443311	0.396456	2.17967
0.444207	0.395559	2.17584
0.445107	0.394662	2.17202
0.446009	0.393765	2.16819
0.446914	0.392869	2.16436
0.447822	0.391972	2.16053
0.448732	0.391075	2.1567
0.449645	0.390179	2.15287
0.450562	0.389282	2.14905
0.45148	0.388385	2.14521
0.452402	0.387489	2.14139
0.453327	0.386592	2.13755
0.454254	0.385696	2.13372
0.455185	0.3848	2.12989
0.456118	0.383903	2.12606
0.457054	0.383007	2.12223
0.457993	0.382111	2.1184
0.458935	0.381214	2.11457
0.45988	0.380318	2.11074
0.460827	0.379422	2.10691
0.461778	0.378526	2.10308
0.462732	0.37763	2.09924
